filename,family,name,peakDbfs,rmsDbfs,crestDb,dcOffset,stereoCorrelation,centroidHz,lowRatio,midRatio,highRatio,envMotionDb,centroidMotionHz,loopClickEnergy,clippedSamples,issues
066 - Keys -  Bright EP.acp,Keys,Keys / Bright EP,3.60,-10.06,13.66,-0.000000,0.9410,624.4,0.0150,0.9545,0.0305,21.577,230.2,0.0000,7258,hard clipping (7258 samples)
067 - Keys -  Tine Key.acp,Keys,Keys / Tine Key,-7.39,-27.32,19.94,0.000000,0.9198,925.2,0.0004,0.9612,0.0385,16.240,490.0,0.0000,0,
068 - Keys -  Reed Key.acp,Keys,Keys / Reed Key,-6.76,-27.13,20.37,-0.000000,0.8687,6496.6,0.0001,0.2098,0.7902,15.935,719.2,0.0000,0,
069 - Keys -  Toy Key.acp,Keys,Keys / Toy Key,0.55,-29.40,29.95,-0.000000,0.9548,489.3,0.6331,0.3268,0.0400,16.282,1805.6,0.0000,188,hard clipping (188 samples)
070 - Keys -  Soft Keyboard.acp,Keys,Keys / Soft Keyboard,4.48,-8.58,13.06,0.000000,0.9321,1368.4,0.0089,0.7880,0.2032,24.514,260.7,0.0000,14200,hard clipping (14200 samples)
071 - Keys -  Attack Key.acp,Keys,Keys / Attack Key,5.10,-8.20,13.30,0.000000,0.9328,1315.2,0.0257,0.8463,0.1280,22.161,482.5,0.0000,14326,hard clipping (14326 samples)
072 - Keys -  Digital Key.acp,Keys,Keys / Digital Key,-5.56,-40.43,34.87,0.000000,0.8800,846.4,0.2354,0.6662,0.0984,14.344,1893.9,0.0000,0,
073 - Keys -  FM Key.acp,Keys,Keys / FM Key,5.31,-6.73,12.04,-0.000000,0.9543,613.1,0.0412,0.9379,0.0209,25.534,228.7,0.0000,25475,hard clipping (25475 samples)
074 - Keys -  Organ Key.acp,Keys,Keys / Organ Key,4.80,-8.29,13.09,0.000000,0.9337,1376.2,0.0094,0.7815,0.2092,23.081,313.0,0.0000,15824,hard clipping (15824 samples)
075 - Keys -  Lo-Fi Key.acp,Keys,Keys / Lo-Fi Key,2.27,-10.19,12.46,0.000000,0.9234,3586.8,0.0268,0.6694,0.3037,21.994,812.1,0.0000,1743,hard clipping (1743 samples)
076 - Keys -  Chorus Key.acp,Keys,Keys / Chorus Key,3.85,-8.71,12.56,-0.000000,0.9147,3923.7,0.0226,0.5393,0.4381,23.599,252.2,0.0000,7062,hard clipping (7062 samples)
077 - Keys -  Bell Key.acp,Keys,Keys / Bell Key,3.72,-11.06,14.79,0.000000,0.9466,1506.1,0.0038,0.7558,0.2404,22.389,329.2,0.0000,8732,hard clipping (8732 samples)
078 - Keys -  Vibey Key.acp,Keys,Keys / Vibey Key,3.86,-8.42,12.28,-0.000000,0.9359,663.0,0.0393,0.9253,0.0355,22.994,240.8,0.0000,10791,hard clipping (10791 samples)
079 - Keys -  Hybrid Piano Key.acp,Keys,Keys / Hybrid Piano Key,4.38,-10.27,14.65,0.000000,0.9303,643.6,0.0170,0.9471,0.0359,21.802,214.7,0.0000,7062,hard clipping (7062 samples)
080 - Keys -  Muted Stage Key.acp,Keys,Keys / Muted Stage Key,6.14,-5.41,11.54,-0.000000,0.9208,706.3,0.0534,0.9064,0.0401,24.520,306.7,0.0000,40784,hard clipping (40784 samples)
081 - Bell -  Bell.acp,Bell,Bell / Bell,1.71,-16.46,18.17,0.000000,0.9043,2077.2,0.0068,0.5820,0.4112,19.586,461.4,0.0000,108,hard clipping (108 samples)
082 - Bell -  Music Box.acp,Bell,Bell / Music Box,2.09,-16.32,18.41,0.000000,0.9032,2070.0,0.0055,0.5714,0.4231,19.468,430.7,0.0000,154,hard clipping (154 samples)
083 - Bell -  Mallet.acp,Bell,Bell / Mallet,2.16,-15.86,18.02,0.000000,0.9046,2060.3,0.0061,0.5741,0.4199,18.619,519.6,0.0000,217,hard clipping (217 samples)
084 - Bell -  Tubular Hit.acp,Bell,Bell / Tubular Hit,1.83,-15.51,17.35,0.000000,0.8128,2038.4,0.0070,0.5877,0.4054,17.456,558.5,0.0000,184,hard clipping (184 samples)
